FID,fid,the_geom,NAME,UNIT,VILCODE,EACODE,TACODE,DISTCODE,TANAME,DISTRICT,UTMEAST,UTMNORTH,X_COORD,Y_COORD
mw_villagespoints.34408,34408,POINT (34.933278890826195 -15.536667724107904),Nseula,Vil,30501001001,30501001,30501,305,TA Kapeni,Blantyre,707348.4063,8281377.5,34.93311,-15.51828
mw_villagespoints.34409,34409,POINT (34.933278890826195 -15.536667724107904),Sande Kandiwo,Vil,30501001003,30501001,30501,305,TA Kapeni,Blantyre,707348.4063,8281377.5,34.93311,-15.51828
mw_villagespoints.34410,34410,POINT (34.95522334405138 -15.52684388098654),Sande Kandiwo,Vil,30501002003,30501002,30501,305,TA Kapeni,Blantyre,709712.7188,8282443.25,34.95505,-15.50846
mw_villagespoints.34411,34411,POINT (34.95522334405138 -15.52684388098654),Mchere,Vil,30501002004,30501002,30501,305,TA Kapeni,Blantyre,709712.7188,8282443.25,34.95505,-15.50846
mw_villagespoints.34412,34412,POINT (34.95522334405138 -15.52684388098654),Mbera,Vil,30501002001,30501002,30501,305,TA Kapeni,Blantyre,709712.7188,8282443.25,34.95505,-15.50846
mw_villagespoints.34413,34413,POINT (34.97348716273577 -15.517387591300789),Katchakwala,Vil,30501003003,30501003,30501,305,TA Kapeni,Blantyre,711681.9688,8283471.75,34.97331,-15.499
mw_villagespoints.34414,34414,POINT (34.97348716273577 -15.517387591300789),Post Masulani,Vil,30501003005,30501003,30501,305,TA Kapeni,Blantyre,711681.9688,8283471.75,34.97331,-15.499
mw_villagespoints.34415,34415,POINT (35.004702141673434 -15.533064019073631),Malanga,Vil,30501004007,30501004,30501,305,TA Kapeni,Blantyre,715015.0938,8281705.75,35.00452,-15.51468
mw_villagespoints.34416,34416,POINT (35.004702141673434 -15.533064019073631),Mpenda,Vil,30501004008,30501004,30501,305,TA Kapeni,Blantyre,715015.0938,8281705.75,35.00452,-15.51468
mw_villagespoints.34417,34417,POINT (34.9832482565871 -15.535288814466806),Post Masulani,Vil,30501005005,30501005,30501,305,TA Kapeni,Blantyre,712710.9688,8281481,34.98307,-15.5169
mw_villagespoints.34418,34418,POINT (34.9832482565871 -15.535288814466806),Mchere,Vil,30501005004,30501005,30501,305,TA Kapeni,Blantyre,712710.9688,8281481,34.98307,-15.5169
mw_villagespoints.34419,34419,POINT (34.957165987671594 -15.539768831069676),Kandiwo,Vil,30501006073,30501006,30501,305,TA Kapeni,Blantyre,709908.0625,8281011,34.95699,-15.52138
mw_villagespoints.34420,34420,POINT (34.957165987671594 -15.539768831069676),Mchere,Vil,30501006004,30501006,30501,305,TA Kapeni,Blantyre,709908.0625,8281011,34.95699,-15.52138
mw_villagespoints.34421,34421,POINT (34.957165987671594 -15.539768831069676),Mbera,Vil,30501006001,30501006,30501,305,TA Kapeni,Blantyre,709908.0625,8281011,34.95699,-15.52138
mw_villagespoints.34422,34422,POINT (34.96978682536402 -15.55997656345532),Mchere,Vil,30501007004,30501007,30501,305,TA Kapeni,Blantyre,711241.5,8278762.25,34.96961,-15.54159
mw_villagespoints.34423,34423,POINT (34.96978682536402 -15.55997656345532),Julius Supedi,Vil,30501007110,30501007,30501,305,TA Kapeni,Blantyre,711241.5,8278762.25,34.96961,-15.54159
mw_villagespoints.34424,34424,POINT (34.96978682536402 -15.55997656345532),Kapeni,Vil,30501007072,30501007,30501,305,TA Kapeni,Blantyre,711241.5,8278762.25,34.96961,-15.54159
mw_villagespoints.34425,34425,POINT (34.995407286582754 -15.556420674475804),Mchere,Vil,30501008004,30501008,30501,305,TA Kapeni,Blantyre,713993.6875,8279130.25,34.99523,-15.53803
mw_villagespoints.34426,34426,POINT (34.995407286582754 -15.556420674475804),Helema,Vil,30501008012,30501008,30501,305,TA Kapeni,Blantyre,713993.6875,8279130.25,34.99523,-15.53803
mw_villagespoints.34427,34427,POINT (34.995407286582754 -15.556420674475804),Kaipa,Vil,30501008013,30501008,30501,305,TA Kapeni,Blantyre,713993.6875,8279130.25,34.99523,-15.53803
mw_villagespoints.34428,34428,POINT (34.995407286582754 -15.556420674475804),Makwale,Vil,30501008015,30501008,30501,305,TA Kapeni,Blantyre,713993.6875,8279130.25,34.99523,-15.53803
mw_villagespoints.34429,34429,POINT (35.00811849625176 -15.556973835169648),Khweleniya,Vil,30501009016,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34430,34430,POINT (35.00811849625176 -15.556973835169648),Makwale,Vil,30501009015,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34431,34431,POINT (35.00811849625176 -15.556973835169648),Chitsonga,Vil,30501009006,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34432,34432,POINT (35.00811849625176 -15.556973835169648),Mchere,Vil,30501009004,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34433,34433,POINT (35.00811849625176 -15.556973835169648),Kaipa,Vil,30501009013,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34434,34434,POINT (35.00811849625176 -15.556973835169648),Mulo,Vil,30501009017,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34435,34435,POINT (35.00811849625176 -15.556973835169648),Jameson Kapeni,Vil,30501009048,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34436,34436,POINT (35.00811849625176 -15.556973835169648),Manjombe Katete,Vil,30501009066,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34437,34437,POINT (35.00811849625176 -15.556973835169648),Kampaka,Vil,30501009060,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
mw_villagespoints.34438,34438,POINT (35.00811849625176 -15.556973835169648),Mpenda,Vil,30501009008,30501009,30501,305,TA Kapeni,Blantyre,715356.7813,8279056.25,35.00794,-15.53859
